Minimo, Maximo, Latitude, Longitude, Media
08873, 08194, 06799, 01146, 08939
05352, 07917, 06735, 09154, 07727
07042, 07361, 06801, 01185, 07273
08732, 08333, 06825, 01129, 09091
04648, 07639, 06902, 01007, 06515
06479, 08611, 06901, 00976, 08485
09577, 08611, 06836, 00750, 09545
09577, 08056, 06869, 09992, 09091
08451, 08056, 09994, 00660, 08939
08310, 08194, 06963, 09991, 08333
06479, 08194, 06822, 00649, 07727
07042, 08611, 07167, 00303, 08333
