"MAE" "RMSE" "MASE" "MRAE" "GMRAE" "MAPE" "sMAPE" "uMbRAE"
"minimo.soma_limitada.mamdani.maximum_center" 571.375 815.028088302619 NA 0.115867335175809 0 11.5867335175809 9.06854435198024 0.0792488300967483
"minimo.uniao_drastica.mamdani.maximum_center" 574.472222222222 828.952049276676 NA 0.120248306941285 0 12.0248306941285 9.44362776153142 0.0824767733045058
"produto.uniao_drastica.mamdani.maximum_center" 574.472222222222 828.952049276676 NA 0.120248306941285 0 12.0248306941285 9.44362776153142 0.0824767733045058
"minimo.uniao_drastica.larsen.maximum_center" 574.5 828.977423965481 NA 0.120251363483293 0 12.0251363483293 9.44396044761016 0.0824798299007169
"produto.uniao_drastica.larsen.maximum_center" 574.5 828.977423965481 NA 0.120251363483293 0 12.0251363483293 9.44396044761016 0.0824798299007169
"minimo.soma_algebrica.mamdani.maximum_center" 580.430555555556 820.001164463943 NA 0.11712549462547 0.0391211761865197 11.712549462547 9.1767497230033 0.080522517827377
"produto.soma_algebrica.mamdani.maximum_center" 589.305555555556 832.495462116428 NA 0.117573236578746 0.0333651638375449 11.7573236578746 9.23728308614468 0.0808100177085331
"produto.soma_limitada.mamdani.maximum_center" 589.305555555556 832.495462116428 NA 0.117573236578746 0.0333651638375449 11.7573236578746 9.23728308614468 0.0808100177085331
"produto.maximo.mamdani.maximum_center" 618.805555555556 863.379648049841 NA 0.126872419010435 0 12.6872419010435 10.1669177831807 0.0890251493698214
"minimo.maximo.larsen.maximum_center" 622.916666666667 865.172670627084 NA 0.12729754842648 0 12.729754842648 10.2049739924574 0.0894943255771678
"produto.maximo.larsen.maximum_center" 622.916666666667 865.172670627084 NA 0.12729754842648 0 12.729754842648 10.2049739924574 0.0894943255771678
"minimo.soma_limitada.larsen.maximum_center" 633.375 874.563379159376 NA 0.128271225729438 0 12.8271225729438 10.2918651695777 0.0905319054783272
"minimo.soma_algebrica.larsen.maximum_center" 656.527777777778 896.950311394735 NA 0.131231615947548 0 13.1231615947548 10.5877742949962 0.0933783989553668
"produto.soma_algebrica.larsen.maximum_center" 656.527777777778 896.950311394735 NA 0.131231615947548 0 13.1231615947548 10.5877742949962 0.0933783989553668
"produto.soma_limitada.larsen.maximum_center" 656.527777777778 896.950311394735 NA 0.131231615947548 0 13.1231615947548 10.5877742949962 0.0933783989553668
"minimo.soma_limitada.larsen.area_center" 793.29677147135 1588.46704051943 NA 0.131527332428657 0.0381174244482201 13.1527332428657 21.6272351818005 0.0948087304179643
"minimo.soma_algebrica.larsen.area_center" 794.210354743506 1588.86922534447 NA 0.131391343524285 0.0380351894692811 13.1391343524285 21.6178862238684 0.0946803489576276
"minimo.soma_algebrica.mamdani.area_center" 803.223282015362 1592.5681277767 NA 0.132266173430658 0.0369072398841572 13.2266173430658 21.7107076764383 0.0956028804670749
"produto.uniao_drastica.mamdani.area_center" 803.52551434314 1598.2985392784 NA 0.134925707646933 0 13.4925707646933 21.9372438450511 0.0975952835487789
"produto.uniao_drastica.larsen.area_center" 804.467745130973 1598.99672884827 NA 0.135713523985723 0 13.5713523985723 21.9959352825303 0.0981472538378707
"minimo.soma_limitada.mamdani.area_center" 805.905796130993 1593.76406837818 NA 0.132883502312141 0.0369618297853923 13.2883502312141 21.7707367260532 0.0962336065425464
"produto.soma_algebrica.larsen.area_center" 806.06295566102 1594.56689746182 NA 0.13270793676311 0.0327915526361466 13.270793676311 21.7667838700466 0.0959792947148121
"produto.soma_limitada.larsen.area_center" 806.860526917882 1594.85421503699 NA 0.13286750399029 0.0328652985486873 13.286750399029 21.7815789910264 0.09614370834272
"produto.soma_limitada.mamdani.area_center" 807.504155097266 1595.50902695395 NA 0.13280913878669 0.0326287893203858 13.280913878669 21.7765768291838 0.0960744901253455
"produto.soma_algebrica.mamdani.area_center" 808.030259784412 1595.81616090685 NA 0.132793630987753 0.0322774357839882 13.2793630987753 21.7777735951656 0.0960590424858483
"minimo.uniao_drastica.larsen.area_center" 808.304774138402 1598.96006987679 NA 0.135528814591061 0 13.5528814591061 21.9981800723584 0.0982878582943354
"minimo.uniao_drastica.mamdani.area_center" 811.346433269377 1599.18097129496 NA 0.135061770818653 0 13.5061770818653 21.9740651650578 0.0981001636004938
"minimo.maximo.larsen.area_center" 815.561086297051 1594.90092515529 NA 0.133737237883472 0.039217732721507 13.3737237883472 21.8694972998204 0.0971972914919981
"minimo.maximo.mamdani.area_center" 816.558644715919 1597.27282845886 NA 0.133286537897163 0.037698736426381 13.3286537897163 21.8346481206346 0.0966554355144693
"produto.maximo.larsen.area_center" 818.021203498382 1600.28934882652 NA 0.134110724548572 0.0307335216264767 13.4110724548572 21.9222011688709 0.0973551725847275
"produto.maximo.mamdani.area_center" 823.464009372324 1603.30101815185 NA 0.13451415253668 0.0299570453903819 13.451415253668 21.9690511682794 0.0977674054622407
"diferenca_limitada.maximo.mamdani.maximum_center" 2146.33333333333 2620.0517806588 NA 0.306265069012027 0.135811619225763 30.6265069012027 33.3555671216513 0.254981743793838
"diferenca_limitada.soma_algebrica.mamdani.maximum_center" 2146.33333333333 2620.0517806588 NA 0.306265069012027 0.135811619225763 30.6265069012027 33.3555671216513 0.254981743793838
"diferenca_limitada.soma_limitada.mamdani.maximum_center" 2146.33333333333 2620.0517806588 NA 0.306265069012027 0.135811619225763 30.6265069012027 33.3555671216513 0.254981743793838
"diferenca_limitada.uniao_drastica.mamdani.maximum_center" 2146.33333333333 2620.0557961616 NA 0.306264930041191 0 30.6264930041191 33.3555668064437 0.254981169060163
"diferenca_limitada.maximo.larsen.maximum_center" 2146.36111111111 2620.06141255421 NA 0.306264195649716 0 30.6264195649716 33.3556564607467 0.254982493763622
"diferenca_limitada.soma_algebrica.larsen.maximum_center" 2146.36111111111 2620.06141255421 NA 0.306264195649716 0 30.6264195649716 33.3556564607467 0.254982493763622
"diferenca_limitada.soma_limitada.larsen.maximum_center" 2146.36111111111 2620.06141255421 NA 0.306264195649716 0 30.6264195649716 33.3556564607467 0.254982493763622
"diferenca_limitada.uniao_drastica.larsen.maximum_center" 2146.36111111111 2620.06141255421 NA 0.306264195649716 0 30.6264195649716 33.3556564607467 0.254982493763622
"minimo.maximo.lukasiewics.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.lukasiewics.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kleene.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kleene.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.reichenbach.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.reichenbach.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.zadeh.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.zadeh.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.gaines.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.gaines.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.godel.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
