"MAE" "RMSE" "MASE" "MRAE" "GMRAE" "MAPE" "sMAPE" "uMbRAE"
"minimo.soma_algebrica.mamdani.maximum_center" 632.5 1005.44308226108 NA 0.100761063607656 0.0411686204231895 10.0761063607656 10.7766985275488 0.0835445183368439
"produto.soma_algebrica.mamdani.maximum_center" 775.833333333333 1098.60053022015 NA 0.113532096594183 0.0609987251669762 11.3532096594183 12.4543902479436 0.0984452604139737
"produto.soma_limitada.mamdani.maximum_center" 775.833333333333 1098.60053022015 NA 0.113532096594183 0.0609987251669762 11.3532096594183 12.4543902479436 0.0984452604139737
"produto.maximo.mamdani.maximum_center" 798.569444444444 1052.99541322732 NA 0.162342226049089 0.0769294843977682 16.2342226049089 12.9197132935493 0.115060969596716
"minimo.soma_limitada.larsen.maximum_center" 908.125 1320.54073257469 NA 0.174236411349655 0.0632667009145751 17.4236411349655 13.9061530256227 0.124180828465706
"minimo.soma_limitada.mamdani.maximum_center" 920.097222222222 1190.19618189141 NA 0.14628873673663 0.0795606461745575 14.628873673663 14.9618077037986 0.12411492778423
"produto.soma_limitada.larsen.area_center" 1161.33480044185 1286.86767739789 NA 0.187004909447344 0.124169398850485 18.7004909447344 17.6843128229465 0.158579053814703
"produto.soma_algebrica.larsen.area_center" 1257.61780818265 1366.34877162507 NA 0.199134459337035 0.140482908999792 19.9134459337035 18.9996241410574 0.170979045420207
"produto.maximo.larsen.area_center" 1406.59651773538 1507.21048651583 NA 0.22013575944486 0.161123256440669 22.013575944486 21.1610784859216 0.189815751679048
"produto.soma_limitada.mamdani.area_center" 1554.86977622084 1629.4868879917 NA 0.235699196921704 0.19129965296074 23.5699196921704 23.0797310121101 0.208623676798285
"minimo.soma_algebrica.larsen.maximum_center" 1582.63888888889 1705.73885099032 NA 0.258895037378848 0.190870776855057 25.8895037378848 20.9090470186937 0.215909069469412
"minimo.maximo.larsen.maximum_center" 1624.75 1766.38064508569 NA 0.265560494766228 0.194353489452762 26.5560494766228 21.5022670251431 0.221074340872954
"produto.maximo.larsen.maximum_center" 1624.75 1766.38064508569 NA 0.265560494766228 0.194353489452762 26.5560494766228 21.5022670251431 0.221074340872954
"minimo.soma_limitada.larsen.area_center" 1628.23359645957 1718.7126861027 NA 0.241782049704798 0.195652367050335 24.1782049704798 24.1050784937059 0.216199677326884
"produto.soma_algebrica.larsen.maximum_center" 1637.36111111111 1784.14016794894 NA 0.267294457520402 0.195339093279578 26.7294457520402 21.3504512629409 0.222508639398074
"produto.soma_limitada.larsen.maximum_center" 1637.36111111111 1784.14016794894 NA 0.267294457520402 0.195339093279578 26.7294457520402 21.3504512629409 0.222508639398074
"produto.soma_algebrica.mamdani.area_center" 1694.24005652665 1758.75512039117 NA 0.254878533157473 0.211663786378993 25.4878533157473 25.1271529336998 0.226822694283108
"minimo.soma_algebrica.larsen.area_center" 1740.06004829255 1818.13111521611 NA 0.256459979780122 0.213978924502034 25.6459979780122 25.7367017213992 0.230835944032013
"minimo.maximo.larsen.area_center" 1781.5087626486 1858.41202835126 NA 0.263457546809491 0.218619260313682 26.3457546809491 26.4007668064372 0.235921037393728
"produto.maximo.mamdani.area_center" 1899.45708340171 1971.70658402332 NA 0.286618567846199 0.237331299536823 28.6618567846199 28.3332772333644 0.252778575358405
"minimo.soma_algebrica.mamdani.area_center" 2156.32549940698 2224.07232937311 NA 0.308531791589021 0.271660813480476 30.8531791589021 32.011673541878 0.283241498802111
"minimo.maximo.mamdani.area_center" 2160.13502238977 2228.04832463351 NA 0.311501578014258 0.271611725478213 31.1501578014258 32.1163221316924 0.283630024195451
"minimo.soma_limitada.mamdani.area_center" 2161.93640830964 2229.80193391526 NA 0.307602594691947 0.272294458225637 30.7602594691947 32.147147899039 0.284084482026011
"diferenca_limitada.maximo.mamdani.maximum_center" 2315.5 2631.00393544619 NA 0.339778952609913 0.240126557504016 33.9778952609913 35.9390493329371 0.289422043659669
"diferenca_limitada.uniao_drastica.mamdani.maximum_center" 2366.11111111111 2691.56136274922 NA 0.348380270973183 0.237811034423661 34.8380270973183 37.4678895856755 0.295454388195774
"diferenca_limitada.soma_algebrica.mamdani.maximum_center" 2377.93055555556 2689.64203912177 NA 0.349931523315309 0.245371428106269 34.9931523315309 37.5442433232548 0.298181799755218
"diferenca_limitada.soma_limitada.mamdani.maximum_center" 2377.93055555556 2689.64203912177 NA 0.349931523315309 0.245371428106269 34.9931523315309 37.5442433232548 0.298181799755218
"diferenca_limitada.uniao_drastica.larsen.maximum_center" 2426.31944444444 2717.65830700092 NA 0.357287048579379 0.258602872236712 35.7287048579379 37.775486307861 0.306684591189369
"diferenca_limitada.maximo.larsen.maximum_center" 2483.13888888889 2722.50712171296 NA 0.363213243341031 0.282728378826468 36.3213243341031 37.4284606769991 0.317457163713317
"diferenca_limitada.soma_algebrica.larsen.maximum_center" 2483.13888888889 2722.50712171296 NA 0.363213243341031 0.282728378826468 36.3213243341031 37.4284606769991 0.317457163713317
"diferenca_limitada.soma_limitada.larsen.maximum_center" 2483.13888888889 2722.50712171296 NA 0.363213243341031 0.282728378826468 36.3213243341031 37.4284606769991 0.317457163713317
"minimo.uniao_drastica.mamdani.maximum_center" 2852.91666666667 3089.46121246623 NA 0.367285452411804 0.320370337870432 36.7285452411804 43.6228251086449 0.349896979103606
"minimo.uniao_drastica.larsen.maximum_center" 2852.91666666667 3089.46121246623 NA 0.367285452411804 0.320370337870432 36.7285452411804 43.6228251086449 0.349896979103606
"produto.uniao_drastica.mamdani.maximum_center" 2852.91666666667 3089.46121246623 NA 0.367285452411804 0.320370337870432 36.7285452411804 43.6228251086449 0.349896979103606
"produto.uniao_drastica.larsen.maximum_center" 2852.91666666667 3089.46121246623 NA 0.367285452411804 0.320370337870432 36.7285452411804 43.6228251086449 0.349896979103606
"produto.uniao_drastica.larsen.area_center" 2882.47010849151 3098.25233129627 NA 0.378178967712708 0.334280595494707 37.8178967712708 44.3319843559608 0.358779310995762
"produto.uniao_drastica.mamdani.area_center" 2910.5790957308 3108.96042638536 NA 0.386949186671967 0.344032030560269 38.6949186671967 44.8729961074982 0.365214625483733
"minimo.uniao_drastica.larsen.area_center" 2934.54866400177 3118.39212557904 NA 0.389591264563362 0.351580901485909 38.9591264563362 45.2011591571372 0.369285336832662
"minimo.uniao_drastica.mamdani.area_center" 2988.03559495715 3144.87471958764 NA 0.40056823679461 0.365097820824339 40.056823679461 46.0634596514289 0.378888947293061
"minimo.maximo.lukasiewics.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.lukasiewics.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kleene.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kleene.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.reichenbach.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.reichenbach.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.zadeh.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.zadeh.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.gaines.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.gaines.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.godel.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.godel.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.goguen.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.goguen.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kliryuan.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kliryuan.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.lukasiewics.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.kleene.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.reichenbach.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.zadeh.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.gaines.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.gaines.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.godel.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.goguen.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.kliryuan.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.lukasiewics.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.lukasiewics.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.kleene.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.kleene.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.reichenbach.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.reichenbach.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.zadeh.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.zadeh.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.gaines.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.gaines.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.godel.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.godel.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.goguen.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.goguen.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
