" " "MAE" "RMSE" "MASE" "MRAE" "GMRAE" "MAPE" "sMAPE" "uMbRAE"
"produto.soma_algebrica.mamdani.maximum_center" 571.25 939.116828018041 NA 0.0923470810360706 0.0390255156478552 9.23470810360706 10.0134974035387 0.0768983547219498
"produto.soma_limitada.mamdani.maximum_center" 571.25 939.116828018041 NA 0.0923470810360706 0.0390255156478552 9.23470810360706 10.0134974035387 0.0768983547219498
"minimo.soma_algebrica.mamdani.maximum_center" 635.583333333333 1035.04226966825 NA 0.0956855820480898 0.0428970812196095 9.56855820480898 10.8687458264898 0.0812039189515944
"minimo.soma_limitada.mamdani.maximum_center" 635.819444444444 1035.05339032986 NA 0.0957187390641144 0.0431058801420186 9.57187390641144 10.8720843445964 0.0812421556265256
"produto.soma_limitada.larsen.area_center" 653.388785011199 944.74815085855 NA 0.111072305405665 0.0258485497361528 11.1072305405665 11.1423252335931 0.0910915215055544
"produto.soma_algebrica.larsen.area_center" 653.388812937811 944.748165928338 NA 0.111072318781974 0.0258485138789028 11.1072318781974 11.1423262679459 0.091091531943382
"produto.maximo.larsen.area_center" 653.401125088877 944.836725452353 NA 0.111110794798096 0.0258148243213157 11.1110794798096 11.1455704088109 0.0911217536010285
"produto.soma_limitada.mamdani.area_center" 662.524737248463 949.013655810471 NA 0.111778721361603 0.027525811405225 11.1778721361603 11.2234986284314 0.0919509251186729
"produto.soma_algebrica.mamdani.area_center" 662.537042044583 949.020049059562 NA 0.111782047331818 0.0275261144834196 11.1782047331818 11.2237887809313 0.0919538123197033
"produto.maximo.mamdani.maximum_center" 665.430555555556 952.387974602088 NA 0.113863492455613 0 11.3863492455613 11.388788944095 0.0934554668161861
"produto.maximo.mamdani.area_center" 665.492066353873 950.878885770047 NA 0.112353050792812 0.0272089176997241 11.2353050792812 11.27701872691 0.092474890453666
"minimo.soma_limitada.larsen.maximum_center" 669.222222222222 953.934600600179 NA 0.11425015265772 0 11.425015265772 11.4235470829553 0.0938906942441836
"produto.maximo.larsen.maximum_center" 669.222222222222 953.934600600179 NA 0.11425015265772 0 11.425015265772 11.4235470829553 0.0938906942441836
"produto.soma_algebrica.larsen.maximum_center" 669.222222222222 953.934600600179 NA 0.11425015265772 0 11.425015265772 11.4235470829553 0.0938906942441836
"produto.soma_limitada.larsen.maximum_center" 669.222222222222 953.934600600179 NA 0.11425015265772 0 11.425015265772 11.4235470829553 0.0938906942441836
"minimo.soma_limitada.mamdani.area_center" 689.441057019599 1052.74481470882 NA 0.109263198122742 0.0323535265734045 10.9263198122742 11.927624031083 0.0924137396865485
"minimo.soma_algebrica.mamdani.area_center" 689.648686798751 1052.8318333017 NA 0.109299032505704 0.0323578472207802 10.9299032505704 11.9310091677049 0.0924495182635117
"minimo.soma_limitada.larsen.area_center" 691.561959785036 1056.85183690665 NA 0.109786042942469 0.0324288027521709 10.9786042942469 12.0057898755642 0.0929081868575551
"minimo.soma_algebrica.larsen.area_center" 691.666129752784 1056.88503848348 NA 0.109802223161773 0.03243892245146 10.9802223161773 12.0073176450178 0.0929255738077644
"minimo.soma_algebrica.larsen.maximum_center" 692.361111111111 1030.77623123978 NA 0.117975022086067 0 11.7975022086067 12.1149642200762 0.0958004636951282
"minimo.maximo.larsen.area_center" 700.900172381375 1078.22687532067 NA 0.108081173665576 0.0335956766688217 10.8081173665576 12.1060096209879 0.0930685403324834
"minimo.maximo.mamdani.area_center" 701.84179498381 1074.92377137083 NA 0.108202894119781 0.0328740735125014 10.8202894119781 12.0783663396348 0.0931207034693969
"minimo.maximo.larsen.maximum_center" 715.5 1105.46021085238 NA 0.121610925431272 0 12.1610925431272 12.8002402167505 0.0976436873351491
"minimo.maximo.lukasiewics.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.lukasiewics.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kleene.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kleene.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.reichenbach.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.reichenbach.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.zadeh.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.zadeh.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.gaines.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.godel.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.goguen.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kliryuan.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kliryuan.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.lukasiewics.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.lukasiewics.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.kleene.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.kleene.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.reichenbach.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.reichenbach.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
