" " "MAE" "RMSE" "MASE" "MRAE" "GMRAE" "MAPE" "sMAPE" "uMbRAE"
"diferenca_limitada.soma_limitada.larsen.maximum_center" 1544.61111111111 1973.95634168765 NA 0.253910258507938 0.134680872110769 25.3910258507938 24.647288893038 0.197362872589551
"diferenca_limitada.uniao_drastica.larsen.area_center" 1985.35853783875 3444.67802808499 NA 0.268966540115473 0.0991190116251867 26.8966540115473 45.0729703677007 0.19719764325543
"diferenca_limitada.uniao_drastica.mamdani.area_center" 1991.74626003835 3443.57631169471 NA 0.270347362958731 0.104650581523981 27.0347362958731 45.1780505793357 0.198776689082968
"diferenca_limitada.soma_limitada.mamdani.area_center" 1996.62997009119 3440.60085391443 NA 0.270935892124991 0.0977642520044537 27.0935892124991 45.1296776203041 0.199926427457738
"diferenca_limitada.soma_algebrica.larsen.area_center" 1998.01399014008 3441.76868379748 NA 0.270504717976219 0.100081749767938 27.0504717976219 45.0836188133747 0.199677472789967
"diferenca_limitada.soma_limitada.larsen.area_center" 1998.05214673381 3441.69728366195 NA 0.270510341137359 0.102534681744335 27.0510341137359 45.0865146067745 0.199693794062938
"diferenca_limitada.soma_algebrica.mamdani.area_center" 1998.7020906133 3440.66114100953 NA 0.271161099935774 0.0992319953337792 27.1161099935774 45.1465361484598 0.200245333074004
"diferenca_limitada.maximo.mamdani.area_center" 2001.31461465065 3440.98957312224 NA 0.271489451770758 0.0982387423747623 27.1489451770758 45.1705277847995 0.200671084276254
"diferenca_limitada.maximo.larsen.area_center" 2001.67699476603 3442.04116955081 NA 0.270932974747096 0.103387225498936 27.0932974747096 45.1177787397727 0.200255836567407
"interseccao_drastica.uniao_drastica.mamdani.maximum_center" 2898.26388888889 3144.08400920593 NA 0.408212962346955 0.317444573616295 40.8212962346955 45.3933920779506 0.362697005074923
"interseccao_drastica.uniao_drastica.larsen.maximum_center" 2898.27777777778 3144.08891590411 NA 0.408214629080291 0.317448542988387 40.8214629080291 45.3935834043445 0.362699414865453
"interseccao_drastica.soma_algebrica.mamdani.maximum_center" 2906.33333333333 3149.04969571951 NA 0.409430705758933 0.315176549667209 40.9430705758933 45.4843305627256 0.364079748463191
"interseccao_drastica.soma_limitada.mamdani.maximum_center" 2906.33333333333 3149.04969571951 NA 0.409430705758933 0.315176549667209 40.9430705758933 45.4843305627256 0.364079748463191
"interseccao_drastica.maximo.mamdani.maximum_center" 2935.80555555556 3161.19915055101 NA 0.413271119872727 0.329699966671624 41.3271119872727 45.8064697821123 0.369298371014778
"interseccao_drastica.maximo.larsen.maximum_center" 2947.40277777778 3164.23746189785 NA 0.414639254220081 0.337376971461177 41.4639254220081 45.929875007767 0.371419164908904
"interseccao_drastica.soma_algebrica.larsen.maximum_center" 2947.40277777778 3164.23746189785 NA 0.414639254220081 0.337376971461177 41.4639254220081 45.929875007767 0.371419164908904
"interseccao_drastica.soma_limitada.larsen.maximum_center" 2947.40277777778 3164.23746189785 NA 0.414639254220081 0.337376971461177 41.4639254220081 45.929875007767 0.371419164908904
"minimo.maximo.lukasiewics.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.lukasiewics.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kleene.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kleene.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.reichenbach.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.reichenbach.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.zadeh.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.zadeh.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.gaines.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.gaines.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.godel.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.godel.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.goguen.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.goguen.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kliryuan.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kliryuan.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.lukasiewics.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.lukasiewics.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.kleene.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.kleene.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.reichenbach.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.reichenbach.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.zadeh.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.zadeh.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.gaines.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.gaines.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.godel.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.godel.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.goguen.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.goguen.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.kliryuan.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.kliryuan.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.lukasiewics.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.lukasiewics.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.kleene.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.kleene.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.reichenbach.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.reichenbach.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
